이름,카테고리,주소,위도,경도,전화번호,링크
낙성대우리한우소곱창,"한식>곱창,막창,양",서울특별시 관악구 인헌길 15 1층,37.4748960,126.9670010,,
또순이원조순대 본점,"한식>순대,순댓국",서울특별시 관악구 신림로59길 14,37.4833160,126.9286503,,https://m.smartstore.naver.com/sillimdongddosooni
전주익산,"한식>순대,순댓국","서울특별시 관악구 신림로59길 14 원조민속순대타운 원빌딩3층 302호, 304호 전주익산",37.4832713,126.9288008,,https://smartstore.naver.com/jeonju_iksan302/products/6080192113
신림황소곱창,"한식>곱창,막창,양",서울특별시 관악구 신림로65길 42,37.4848658,126.9270651,,https://www.instagram.com/sillim.gopchang
전라도시네마,"한식>순대,순댓국",서울특별시 관악구 신림로59길 14 원빌딩 원조민속순대타운 3층 307호,37.4833092,126.9287770,,https://cafe.naver.com/aabb6459
정남옥 서울대입구점,"한식>순대,순댓국",서울특별시 관악구 관악로 148 지층,37.4785394,126.9525926,,
제주국수임당,음식점>한식,서울특별시 관악구 관악로12길 5 2층,37.4782557,126.9527774,,https://www.instagram.com/iam_jejuguksu?igsh=N2Zudnd0ZjZmbm1x&utm_source=qr
막불감동,한식>냉면,서울특별시 관악구 남부순환로 1599,37.4842899,126.9282701,,
고기굽는사람들 샤로수길본점,"한식>육류,고기요리",서울특별시 관악구 관악로14길 70 효림빌딩 1층 106호,37.4782651,126.9564700,,https://blog.naver.com/sbw1101
킷사서울,음식점>일식>일식당,서울특별시 관악구 남부순환로226길 31 2층 킷사서울,37.4792338,126.9537873,,http://www.instagram.com/kissa.seoul
스시노칸도 타임스트림점,"음식점>일식>초밥,롤",서울특별시 관악구 신림로 330,37.4838598,126.9302425,,https://blog.naver.com/snksillim
멘지 신림역점,음식점>일식>일본식라면,서울특별시 관악구 신림로59길 15-12 1층 MENJi,37.4826064,126.9292788,,https://www.instagram.com/menji_sinrim
스시이안앤 서울대입구역점,"음식점>일식>초밥,롤",서울특별시 관악구 관악로14길 11 2층,37.4792569,126.9532552,,
등촌샤브칼국수 신림점,"음식점>한식>칼국수,만두",서울특별시 관악구 신림로 309 2층,37.4820185,126.9296546,,
편편집 신림역점,음식점>일식>샤브샤브,서울특별시 관악구 남부순환로180길 6 최강타워 지하1층,37.4835688,126.9305194,,
두둑한샤브칼국수 신림점,음식점>일식>샤브샤브,서울특별시 관악구 신림로64길 17 한서빌딩 1층,37.4851518,126.9307045,,https://www.instagram.com/dodok8262
우담정,한식>소고기구이,서울특별시 관악구 남부순환로 2082-25 4층,37.4760614,126.9810098,,https://www.instagram.com/woodamjeong_seoul?igsh=dHk2bmtscnJmbXd6
안녕쿠마,음식점>일식>일식당,서울특별시 관악구 관악로14길 70 효림빌딩 지하1층,37.4783094,126.9562681,,https://www.instagram.com/annyeongkuma
바다가내손아귀,"한식>아귀찜,해물찜",서울특별시 관악구 봉천로 382-1 1층,37.4830053,126.9423127,,https://www.instagram.com/badaga_bongcheon
박막례청진동해장국,한식>해장국,서울특별시 관악구 관악로 105,37.4745903,126.9526746,,
평안도식당 24시 신림점,한식>국밥,서울특별시 관악구 남부순환로 1535 1층,37.4832822,126.9210982,,https://baemin.me/B4iyqxfBi
조마루감자탕 구로디지털1호점,한식>감자탕,서울특별시 관악구 조원로 8,37.4833807,126.9030902,,http://www.jomaru.co.kr/
아우네장터순대국,"한식>순대,순댓국",서울특별시 관악구 봉천로 490,37.4815219,126.9541116,,
전준수 명품청기와감자탕 난곡본점,한식>감자탕,서울특별시 관악구 난곡로 112 대운빌딩1층,37.4653526,126.9199342,,http://blog.kbmyshop.com/%EB%AA%85%ED%92%88%EC%B2%AD%EA%B8%B0%EC%99%80%EB%BC%88%EA%B0%90%EC%9E%90%ED%83%95
고기박사 신림점,"한식>육류,고기요리",서울특별시 관악구 남부순환로 1633 1층 고기박사,37.4847841,126.9321635,,
우리설렁탕,"한식>곰탕,설렁탕",서울특별시 관악구 신림로 190,37.4743513,126.9364125,,
구수옥설렁탕,"한식>곰탕,설렁탕",서울특별시 관악구 남부순환로 1674 1층 구수옥설렁탕,37.4843935,126.9365231,,
돌솥밥추어탕 봉천점,한식>추어탕,서울특별시 관악구 봉천로 375,37.4836072,126.9417656,,
해방촌 부대찌개 타임스트림점,"한식>찌개,전골",서울특별시 관악구 신림로 330 9층,37.4838356,126.9301735,,https://www.instagram.com/haebangchon_budajjigae
로데오김밥 사당점,분식>김밥,서울특별시 관악구 승방길 6,37.4740088,126.9815887,,
정숙성 샤로수길점,"한식>육류,고기요리",서울특별시 관악구 남부순환로226길 31 1층 정숙성,37.4791772,126.9538301,,https://app.catchtable.co.kr/ct/shop/jungsooksung?from=share&type=DINING
길동우동 신림점,"음식점>일식>우동,소바",서울특별시 관악구 신림로 358,37.4862844,126.9295479,,https://blog.naver.com/gildongudong
사이공본가 신림점,음식점>베트남음식,서울특별시 관악구 남부순환로 1595 1층,37.4842359,126.9277283,,http://saigonbonga.com/
안밀소 서울대입구역본점,음식점>베트남음식,서울특별시 관악구 봉천로 473-9 2층,37.4827491,126.9528663,,https://naver.me/xdjgwC3z
분짜하노이 서울대입구점,음식점>베트남음식,서울특별시 관악구 관악로 154 지하1층,37.4788914,126.9526164,,
미분당 샤로수길점,음식점>베트남음식,서울특별시 관악구 관악로14길 103 1층 미분당,37.4778454,126.9580818,,
버거킹 서울대입구역점,양식>햄버거,서울특별시 관악구 남부순환로 1796,37.4813701,126.9497027,,
버거킹 낙성대점,양식>햄버거,서울특별시 관악구 남부순환로 1934 낙성대빌딩,37.4767066,126.9637753,,
핵밥 건대본점,음식점>일식>덮밥,서울특별시 광진구 능동로 127 2층,37.5422709,127.0714384,,
엠브로돈까스 건대점,음식점>일식>돈가스,서울특별시 광진구 능동로 139 2층,37.5432930,127.0719640,,https://blog.naver.com/mbrodonkatsu_kondae
롯데리아 건대스타시티점,양식>햄버거,서울특별시 광진구 아차산로 262 더샵스타시티 C동,37.5388894,127.0726820,,https://www.lotteria.com/
KFC 세종대점,양식>햄버거,"서울특별시 광진구 광나루로 396 1층, 2층",37.5472239,127.0735579,,https://www.kfckorea.com/
롯데리아 구의역점,양식>햄버거,서울특별시 광진구 아차산로 370 1층,37.5364857,127.0841062,,https://www.lotteria.com/
빕스 어린이대공원점,음식점>패밀리레스토랑,서울특별시 광진구 광나루로 410 KCC파크타운 2층,37.5465757,127.0750446,,http://www.ivips.co.kr
최원석의돼지한판&amp;서해쭈꾸미 건대1호점,"한식>육류,고기요리",서울특별시 광진구 아차산로 199 성빌딩,37.5418214,127.0657289,,http://www.instagram.com/pig_k.o
건대 고기굽는놈 본점,"한식>육류,고기요리",서울특별시 광진구 아차산로31길 8 고기굽는놈,37.5413316,127.0694471,,https://app.catchtable.co.kr/ct/shop/gogi_
새마을회관 건대점,술집>요리주점,서울특별시 광진구 아차산로33길 15 1층,37.5410230,127.0701046,,
장충동한방족발,"한식>족발,보쌈",서울특별시 광진구 자양로13나길 4 1층,37.5336659,127.0807407,,
봉혜자네주방 이스트폴,음식점>한식,서울특별시 광진구 아차산로 402 NC 이스트폴 2층,37.5366969,127.0878216,,
77년생 곱도리 전골식당 건대직영점,음식점>한식,서울특별시 광진구 동일로24길 70 1층 77년생 곱도리 전골식당 건대직영점,37.5428699,127.0687772,,https://www.instagram.com/77gobdori
60년전통신촌황소곱창 건대직영점,"음식점>한식>육류,고기요리>곱창,막창,양","서울특별시 광진구 아차산로31길 7 1층, 2층",37.5413750,127.0692832,,
건대 숯불부자곱창,"한식>곱창,막창,양",서울특별시 광진구 동일로24길 102,37.5422956,127.0704986,,https://blog.naver.com/didcjf0414
장미술상 건대점,술집>요리주점,서울특별시 광진구 아차산로31길 3-6 1~2층 장미술상,37.5413948,127.0689885,,http://instagram.com/jangmisulsang_kondae
신사소곱창 건대점,"육류,고기요리>곱창,막창,양",서울특별시 광진구 아차산로31길 39 1층 신사소곱창 건대점,37.5427380,127.0699917,,https://www.instagram.com/sinsaso.konkuk_univ
명봉양꼬치 건대본점,중식>양꼬치,서울특별시 광진구 뚝섬로31길 59,37.5381215,127.0687132,,https://app.catchtable.co.kr/ct/shop/myeongbong?from=share&type=WAITING
함흥본가면옥 건대점,한식>냉면,서울특별시 광진구 광나루로 456 (화양동),37.5452287,127.0798987,,https://www.instagram.com/hbmmj
더 클래식 500 라구뜨,음식점>뷔페,서울특별시 광진구 능동로 90 더클래식500 B동 3층,37.5381061,127.0708963,,http://www.pentaz.co.kr/restaurant/lagoutte.do
코노하 건대점,음식점>일식>일본식라면,서울특별시 광진구 능동로13길 19 2층,37.5428929,127.0708469,,https://www.instagram.com/soupkonoha/
멘츠루 어린이대공원점,음식점>일식>일본식라면,서울특별시 광진구 광나루로 394 1층,37.5472750,127.0734369,,https://www.instagram.com/menchuru_grandpark
멘지 건대점,음식점>일식>일본식라면,서울특별시 광진구 능동로13길 15 2층,37.5427999,127.0709291,,https://www.instagram.com/menji_konkuk
아웃백스테이크하우스 건대스타시티점,음식점>패밀리레스토랑,서울특별시 광진구 능동로 92 스타시티몰 스타존 2층,37.5391415,127.0718831,,https://www.outback.co.kr
용가회전훠궈 건대점,중식>중식당,서울특별시 광진구 동일로22길 101 2층,37.5410214,127.0697289,,https://www.instagram.com/loonger_official
유유샤브 군자역점,음식점>일식>샤브샤브,서울특별시 광진구 능동로36길 30 201호,37.5557473,127.0806302,,https://www.instagram.com/u.u.shabu_gunja/
제주곤이칼국수 건대점,"한식>칼국수,만두",서울특별시 광진구 능동로13길 12,37.5427530,127.0711937,,
보승회관 건대입구역점,음식점>한식>국밥,서울특별시 광진구 아차산로 214 1층,37.5409170,127.0670894,,https://www.boseunghall.com/
돕감자탕전문점,한식>감자탕,서울특별시 광진구 아차산로31길 9,37.5414896,127.0692665,,https://www.instagram.com/dobgamjatang/
수돈재,한식>감자탕,서울특별시 광진구 자양로45길 39,37.5528088,127.0907910,,
조선솥뚜껑감자탕,한식>감자탕,서울특별시 광진구 동일로24길 85,37.5426814,127.0696844,,http://조그삼.com
건대통큰감자탕 어린이대공원본점,한식>감자탕,서울특별시 광진구 광나루로26길 16 1층 통큰감자탕,37.5454986,127.0768482,,
신선설농탕 광나루역점,"한식>곰탕,설렁탕",서울특별시 광진구 천호대로 813 신성빌딩,37.5456490,127.1043180,,https://www.instagram.com/sinseonseolnongtang?igsh=dHU0NWVlczV3bDY5
한촌설렁탕 건대입구역점,"한식>곰탕,설렁탕",서울특별시 광진구 아차산로 241,37.5403849,127.0701567,,https://baemin.me/qd2Xgag70
신선설농탕 자양점,"한식>곰탕,설렁탕",서울특별시 광진구 자양로 139 신선설농탕자양점,37.5403156,127.0828995,,http://www.shinsunseolnongtang.co.kr/
가마솥도가니탕장수옥,음식점>한식,서울특별시 광진구 용마산로 124 대영빌딩,37.5647489,127.0869640,,
착한탕국,음식점>한식,서울특별시 광진구 자양로13나길 35,37.5345937,127.0793198,,
새마을39운동포차,음식점>술집,서울특별시 광진구 아차산로33길 33 1층,37.5417451,127.0704373,,
싸다김밥 구의역점,음식점>분식,서울특별시 광진구 자양로 104 1층,37.5370478,127.0837210,,https://ssadagb.com
싸다김밥 어린이대공원역점,음식점>분식,서울특별시 광진구 광나루로 369 두산위브파크 상가 1층,37.5482641,127.0709371,,https://ssadagb.com
김가네 동서울터미널점,음식점>분식,서울특별시 광진구 강변역로4길 10 1층,37.5354576,127.0936065,,https://blog.naver.com/gimkong7127
놀부부대찌개 건대스타시티점,"한식>찌개,전골",서울특별시 광진구 아차산로 262 더샵스타시티,37.5382023,127.0734681,,
설빙 건대지점,"카페,디저트>빙수",서울특별시 광진구 아차산로 225 2층,37.5409116,127.0685486,,http://sulbing.com/
하이디라오 건대지점,음식점>중식당,서울특별시 광진구 능동로 110 스타시티 영존 A동 2F,37.5404345,127.0712141,,https://booking.naver.com/booking/6/bizes/141532/items/2728469?area=ple
꾸아 건대본점,음식점>베트남음식,서울특별시 광진구 군자로3길 9,37.5446500,127.0708494,,http://www.pho-qua.com/
백미원 건대점,중식>중식당,서울특별시 광진구 아차산로 224,37.5406255,127.0680394,,
깐깐 구의이스트폴점,음식점>베트남음식,서울특별시 광진구 아차산로 402 2층 1a호,37.5366969,127.0878216,,
버거킹,음식점>양식,서울특별시 광진구 아차산로 272 더샵스타시티,37.5385943,127.0727720,,
버거킹 건대입구역점,양식>햄버거,서울특별시 광진구 아차산로 229,37.5406612,127.0692397,,
스시메이진 구로,"음식점>일식,초밥뷔페",서울특별시 구로구 디지털로 300 지밸리비즈플라자 2층 206호,37.4853352,126.8969015,,
샤오카오,중식>양꼬치,서울특별시 구로구 디지털로32나길 17-6 구로맛집 샤오카오,37.4842318,126.9003480,,
마라공방 고척돔점,중식>마라탕,서울특별시 구로구 중앙로6길 50 2층,37.5000900,126.8665761,,
실크로드,중식>중식당,"서울특별시 구로구 경인로 398 송림가, 실크로드",37.4971940,126.8647350,,https://blog.naver.com/gurosilkroad
바르미스시샤브 신도림점,음식점>일식>샤브샤브,서울특별시 구로구 경인로 661 신도림1차 푸르지오 2층,37.5091022,126.8876252,,
백소정 NC신구로점,음식점>일식>일식당,서울특별시 구로구 구로중앙로 152 NC백화점 지하1층,37.5011324,126.8828000,,https://baeksojeong.com/
맥도날드 구로디지털점,양식>햄버거,서울특별시 구로구 디지털로31길 12 태평양물산,37.4850733,126.8949525,,https://www.mcdonalds.co.kr/
프레퍼스 다이어트 푸드 구로디지털단지점,"도시락,컵밥>다이어트,샐러드",서울특별시 구로구 디지털로 300 지밸리비즈플라자 1층 104-1호,37.4852584,126.8966693,,http://prepperskorea.com
KFC 구로디지털2,양식>햄버거,서울특별시 구로구 디지털로 300 지밸리비즈플라자,37.4854475,126.8964226,,https://www.kfckorea.com/
애슐리퀸즈 NC신구로점,음식점>패밀리레스토랑,서울특별시 구로구 구로중앙로 152 NC신구로점 TWO관 7층,37.5008197,126.8830413,,https://www.myashley.co.kr/
피자몰 NC신구로점,음식점>피자,서울특별시 구로구 구로중앙로 152 NC신구로점 B1,37.5011324,126.8828000,,https://www.instagram.com/pizzamall.official/
월화식당 구로디지털단지역점,"음식점>한식>육류,고기요리",서울특별시 구로구 디지털로32길 79 1층 월화식당 구로디지털단지역점,37.4836438,126.8997060,,https://www.instagram.com/wolhwa_sikdang_guro
형제특수부위 구로디지털단지역점,"한식>육류,고기요리",서울특별시 구로구 디지털로32나길 17-12,37.4843628,126.8998316,,https://app.catchtable.co.kr/ct/shop/gudibro
마포족발순대국,"한식>족발,보쌈",서울특별시 구로구 경인로 661 신도림1차푸르지오,37.5094337,126.8877731,,
신도림참족발,"한식>족발,보쌈",서울특별시 구로구 경인로 661 신도림1차푸르지오,37.5098654,126.8883892,,
대두족발 구로디지털단지역점,"한식>족발,보쌈",서울특별시 구로구 디지털로32길 97-6 1층 대두족발 구로디지털단지역점,37.4832230,126.9008094,,https://www.instagram.com/ddjokbal/
참조은순대국전문점 구로직영점,"한식>순대,순댓국",서울특별시 구로구 구로중앙로 47,37.4939682,126.8895392,,http://cityfood.co.kr/file2/h_0078/38843/
양은이네 신도림본점,음식점>한식,서울특별시 구로구 공원로8길 33 1층,37.5036325,126.8910898,,
5.13낙곱새 구로디지털직영점,"한식>곱창,막창,양",서울특별시 구로구 디지털로 288 지하 1층 115호,37.4841335,126.8956955,,https://www.instagram.com/5.13_franchise
옛날황소곱창,"한식>곱창,막창,양",서울특별시 구로구 디지털로32나길 16 1층 옛날황소곱창,37.4838333,126.9005158,,https://blog.naver.com/ohime728/223039421550
김돈이 구로점,한식>돼지고기구이,서울특별시 구로구 디지털로32다길 15 영우빌딩,37.4820817,126.8999011,,
금성관나주곰탕 구로직영점,"한식>곰탕,설렁탕",서울특별시 구로구 디지털로32길 92 1층 101호,37.4828547,126.8999400,,https://smartstore.naver.com/slow_naju
서울안심축산 신도림푸르지오1차점,"한식>육류,고기요리",서울특별시 구로구 경인로 661 2층 전문식당가,37.5094489,126.8877687,,https://app.catchtable.co.kr/ct/shop/impery
서일순대국전문 구로점,"한식>순대,순댓국",서울특별시 구로구 구로중앙로 6 서일순대국,37.4911127,126.8927211,,
미켈고깃집 구로점,"한식>육류,고기요리",서울특별시 구로구 디지털로34길 55 코오롱싸이언스밸리2차 지하 105호,37.4841594,126.8994585,,
맛찬들왕소금구이 구로점,"한식>육류,고기요리",서울특별시 구로구 디지털로32나길 17-28,37.4848886,126.8997470,,http://www.instagram.com/mcdgrd
백소정 구로디지털점,음식점>일식>일식당,서울특별시 구로구 디지털로34길 27 113호,37.4852283,126.8982630,,https://baeksojeong.com/
멘지 신도림점,음식점>일식>일본식라면,"서울특별시 구로구 경인로 661 1층 170호, 171-1호",37.5096930,126.8881828,,
멘야이찌방 고척점,음식점>일식>일본식라면,서울특별시 구로구 경인로47길 60 1층,37.5016317,126.8650560,,
코지로오모테나시 구로디지털단지점,술집>이자카야,서울특별시 구로구 디지털로32길 97-16 2층,37.4834972,126.9011049,,https://kojiro.co.kr
운치 구로디지털단지본점,술집>이자카야,서울특별시 구로구 디지털로32나길 22 1층 102호,37.4840510,126.9006206,,https://www.instagram.com/unchi_headoffice
흥도식당 구로디지털단지점,음식점>일식>돈가스,서울특별시 구로구 디지털로26길 123 지하1층 112호,37.4831102,126.8978988,,https://www.instagram.com/heungdo_gurodigital/profilecard/?igsh=MThiMTdxejJsNGdxeA==
써브웨이 구로NC점,음식점>샌드위치,서울특별시 구로구 구로중앙로 152,37.5011602,126.8827731,,http://www.subway.co.kr/
귯걸귯보이 구로직영점,술집>요리주점,서울특별시 구로구 디지털로32나길 23 1층,37.4842518,126.9006001,,https://www.instagram.com/gggb.official
교대이층집 구로디지털단지점,"음식점>육류,고기요리",서울특별시 구로구 디지털로32나길 17-6 1층 교대이층집,37.4842033,126.9003198,,
왕뼈해장국 고척점,한식>감자탕,서울특별시 구로구 중앙로 101 청솔우성아파트,37.5064179,126.8598840,,
원당감자탕 구로직영점,한식>감자탕,서울특별시 구로구 디지털로31길 38-9,37.4858369,126.8931759,,
역전할머니맥주 서울구로디지털단지점,"술집>맥주,호프",서울특별시 구로구 디지털로32나길 29 역전할머니맥주 구로디지털단지점,37.4844739,126.9007048,,
역전할머니맥주 서울신도림점,"술집>맥주,호프",서울특별시 구로구 경인로67길 23,37.5108019,126.8893513,,
부자감자탕 오류동본점,한식>감자탕,서울특별시 구로구 경인로25길 14 1층,37.4970316,126.8442864,,
신선설농탕 고척점,"한식>곰탕,설렁탕",서울특별시 구로구 경인로 387 고척동 72-1 신선설농탕,37.4969863,126.8627961,,http://www.shinsunseolnongtang.co.kr/
국밥장인 구로디지털점,한식>국밥,서울특별시 구로구 시흥대로 565 1층,37.4834993,126.9015620,,
정심재,"한식>곰탕,설렁탕",서울특별시 구로구 디지털로26길 111 1층 108호,37.4824976,126.8967713,,
본가설렁탕 구로점,"한식>곰탕,설렁탕",서울특별시 구로구 디지털로32길 97-39 1층 본가설렁탕,37.4844169,126.9013940,,
식껍 구로디지털단지역점,"음식점>한식>육류,고기요리",서울특별시 구로구 디지털로34길 55 B135호,37.4845749,126.8994953,,https://www.instagram.com/sikkup_guro
세계단,술집>이자카야,서울특별시 구로구 공원로6나길 29-1 1층,37.5042228,126.8914040,,"https://map.naver.com/p/entry/place/1521258383?c=15.00,0,0,0,dh&placePath=/booking"
동대문엽기떡볶이 구로점,음식점>분식,서울특별시 구로구 도림천로 338 2층,37.4948088,126.8937798,,https://blog.naver.com/ddm_yupdduk
손오공마라탕 구로디지털단지역점,중식>중식당,서울특별시 구로구 디지털로32길 87 2층,37.4833013,126.9000507,,
탕화쿵푸마라탕 구로디지털점,음식점>마라탕,서울특별시 구로구 디지털로32길 96 2층 탕화쿵푸마라탕,37.4828171,126.9002420,,
미스사이공 신도림점,음식점>베트남음식,서울특별시 구로구 경인로 661,37.5095178,126.8877039,,http://www.miss420.net/
컴포 신도림점,음식점>베트남음식,서울특별시 구로구 경인로67길 57 102호 컴포,37.5119022,126.8877071,,https://www.instagram.com/compho1234
한판소갈비,"한식>육류,고기요리",서울특별시 구로구 시흥대로163길 12 1층,37.4816508,126.8993210,,
미분당 구로디지털단지점,음식점>베트남음식,서울특별시 구로구 디지털로33길 12 우림이비지센터 2차 1층 103호,37.4864613,126.8965049,,
샤오당쟈마라탕 가산점,중식>마라탕,서울특별시 금천구 디지털로9길 32 1층 105호,37.4791894,126.8874524,,https://www.shaodangza.co.kr
서천집,음식점>한식,서울특별시 금천구 가산디지털1로 168 우림라이온스밸리 A동 2층 212호,37.4807657,126.8822116,,
불도장 중화요리전문점,중식>중식당,서울특별시 금천구 시흥대로115길 37 2층 불도장,37.4678753,126.8956855,,https://naver.me/xdpUThn9
라복궁 가산본점,중식>중식당,서울특별시 금천구 가산로9길 12-8,37.4777221,126.8911296,,
마라홀릭 마라탕 가산센트럴점,중식>중식당,서울특별시 금천구 디지털로10길 69 1동 G13호 마라홀릭,37.4750794,126.8906542,,
카츠 올로지 가산본점,음식점>일식>돈가스,서울특별시 금천구 가산디지털2로 127-33 제1층 제101호 카츠올로지,37.4785824,126.8779895,,
온센 금천구 가산점,음식점>일식>일식당,서울특별시 금천구 가산디지털1로 205-27 1층 온센 금천구점,37.4830100,126.8784766,,http://onsenfood.kr/
백소정 가산디지털역점,음식점>일식>일식당,서울특별시 금천구 벚꽃로 298 1층 113호,37.4811812,126.8839465,,https://baeksojeong.com/
민소푸,음식점>일식>일식당,서울특별시 금천구 가산디지털2로 166 1층,37.4829282,126.8781987,,https://www.instagram.com/min_sofu
호호샤브,음식점>일식>샤브샤브,서울특별시 금천구 가산디지털1로 142 1층 115호 호호샤브,37.4784871,126.8833785,,
맥도날드 가산비지니스센터점,양식>햄버거,서울특별시 금천구 가산디지털1로 165 가산비지니스센터,37.4802069,126.8812680,,https://www.mcdonalds.co.kr/
호세가 타코스 가산본점,"음식점>멕시코,남미음식",서울특별시 금천구 남부순환로108길 19 1층,37.4779719,126.8922992,,https://m.place.naver.com/restaurant/1626488469/booking?entry=plt
KFC 가산디지털,양식>햄버거,서울특별시 금천구 가산디지털1로 186 제이플라츠빌딩 1층,37.4815746,126.8814721,,https://www.kfckorea.com/
써브웨이 가산디지털단지점,음식점>샌드위치,서울특별시 금천구 가산디지털1로 165 가산비지니스센터 102호,37.4801280,126.8810416,,http://www.subway.co.kr/
애슐리퀸즈 가산 퍼블릭점,음식점>패밀리레스토랑,서울특별시 금천구 디지털로 178 A동 B1층,37.4762822,126.8871523,,https://bit.ly/애슐리가산실시간대기현황
세라즈피자펍,음식점>피자,서울특별시 금천구 가산디지털1로 168 A동 2층 222호,37.4809200,126.8822017,,http://m.facebook.com/sarahspizzapub
더제이케이키친박스 가산디지털점,양식>이탈리아음식,서울특별시 금천구 가산디지털1로 145 에이스하이엔드타워3 1층 111호,37.4781927,126.8816062,,https://instagram.com/gadi_kitchenbox_?igshid=8cp4acwh0zu7
매드포갈릭 현대시티아울렛가산점,양식>이탈리아음식,서울특별시 금천구 디지털로10길 9 현대시티아울렛 8층,37.4779046,126.8892647,,http://www.madforgarlic.com/
니뽕내뽕 현대시티아울렛가산점,음식점>중식당,서울특별시 금천구 디지털로10길 9 현대시티아울렛 6층,37.4778811,126.8887782,,http://www.nipongnaepong.co.kr
가산물갈비&amp;즉석소불고기,"한식>육류,고기요리",서울특별시 금천구 가산디지털1로 128 STX V TOWER 110호,37.4770105,126.8839179,,https://smartstore.naver.com/gasanmulgalbi
명륜진사갈비 서울독산점,"한식>육류,고기요리",서울특별시 금천구 시흥대로 447 1층,37.4735761,126.8979033,,https://blog.naver.com/jinsafd
완미족발 서울가산퍼블릭점,"음식점>한식>육류,고기요리>족발,보쌈",서울특별시 금천구 디지털로 178 A동 M216호,37.4766286,126.8871293,,https://www.instagram.com/wanmi_jokbal_gasan?igsh=aGtwOXJ0aTNiNHkx&utm_source=qr
여신족발,"한식>족발,보쌈",서울특별시 금천구 벚꽃로38길 21,37.4822726,126.8843098,,
삼대족발 금천점,"음식점>한식>육류,고기요리>족발,보쌈",서울특별시 금천구 시흥대로 196 1층 삼대족발 금천점,37.4513187,126.9022126,,http://www.삼대족발.com
부자아줌마,음식점>한식,서울특별시 금천구 가산디지털1로 83,37.4734320,126.8843760,,
족발예찬 금천롯데캐슬점,"육류,고기요리>족발,보쌈",서울특별시 금천구 시흥대로 291 L26호,37.4597425,126.8965074,,
춘천옥,음식점>한식,"서울특별시 금천구 디지털로12길 19 춘천옥빌딩 1, 2층",37.4778623,126.8896826,,
오봉집 금천시흥점,음식점>한식,서울특별시 금천구 시흥대로50길 11 1층,37.4516188,126.9027739,,
옛날그맛명동칼국수,"한식>칼국수,만두",서울특별시 금천구 가산디지털1로 131 BYC하이시티 지하1층,37.4770405,126.8819755,,
명동칼국수,"한식>칼국수,만두",서울특별시 금천구 벚꽃로 278 SJ테크노빌 지하1층 B154호 명동칼국수,37.4794855,126.8846163,,
인생파곱창,"한식>곱창,막창,양",서울특별시 금천구 시흥대로52길 42,37.4531984,126.9021562,,
종로곱창,"한식>곱창,막창,양",서울특별시 금천구 시흥대로70길 33,37.4564848,126.9020374,,
벽돌곱창 가산점,"한식>곱창,막창,양","서울특별시 금천구 디지털로10길 37 152, 153호",37.4771272,126.8899392,,https://www.벽돌곱창.com
대패88도매장 서울시흥점,한식>돼지고기구이,서울특별시 금천구 시흥대로 192 에이동 1층,37.4510259,126.9023206,,
아로가 독산본점,"한식>순대,순댓국","서울특별시 금천구 범안로 1212 1층 118호, 119호",37.4661540,126.8960229,,https://www.youtube.com/@arogakr
서귀포화로구이 금천점,한식>돼지고기구이,서울특별시 금천구 가산로 49 서귀포화로구이,37.4713147,126.8973923,,
담소소사골순대육개장 가산디지털점,"육류,고기요리>순대,순댓국",서울특별시 금천구 디지털로9길 99 스타밸리,37.4813454,126.8849066,,
대판 솥뚜껑김치삼겹살,한식>돼지고기구이,서울특별시 금천구 시흥대로 291 독산 롯데캐슬골드파크3차 WEST동 2층 240호,37.4598096,126.8964803,,
진영면옥,한식>냉면,서울특별시 금천구 가산로 22-5,37.4715782,126.9004447,,https://blog.naver.com/kimsw3710
오늘돈카츠,음식점>일식>돈가스,서울특별시 금천구 가산디지털1로 171 가산SKV1센터 1층 103호,37.4807326,126.8806252,,http://instagram.com/oneul_donkatsu
스시초이,"음식점>일식>초밥,롤",서울특별시 금천구 가산디지털1로 171,37.4807481,126.8807130,,
요미우돈교자 퍼블릭가산점,음식점>일식>일식당,서울특별시 금천구 디지털로 178 가산퍼블릭 B동 1층 M-130호,37.4755856,126.8870810,,
소하계,음식점>일식>일식당,서울특별시 금천구 가산디지털2로 142-13 1층,37.4804824,126.8796593,,https://www.instagram.com/yakiniku_komyo/?igshid=MzRlODBiNWFlZA%3D%3D
마치다쇼텐 마리오아울렛 본점,음식점>일식>일본식라면,서울특별시 금천구 벚꽃로 266 마리오아울렛 3관 12층,37.4785134,126.8853382,,https://www.instagram.com/machidashoten_kr
미소야 시흥점,음식점>일식>돈가스,서울특별시 금천구 금하로 720 에벤에셀프라자,37.4505830,126.9095400,,
가츠나베1.186,음식점>일식>돈가스,서울특별시 금천구 가산디지털1로 186 제이플라츠 지하1층 가츠나베 1.186,37.4815555,126.8812591,,
소요카제 라멘,음식점>일식>일본식라면,서울특별시 금천구 디지털로10길 69 1층,37.4751599,126.8914150,,https://www.instagram.com/soyokaje_noodle
써브웨이 독산점,음식점>샌드위치,서울특별시 금천구 시흥대로 399,37.4695344,126.8970681,,http://www.subway.co.kr/
샤브올데이 서울가산점,음식점>일식>샤브샤브,서울특별시 금천구 디지털로9길 68 대륭포스트타워5차 1층 101~105호,37.4813158,126.8864114,,https://샤브올데이.com
